Code	Locale	What is your level of proficiency with the target language?	"Does the target language use abbreviations formed from the first character of each word in a phrase (e.g., ""NATO"" <  ""North American Treaty Organization"", ""CIA"" < ""Central Intelligence Agency"")?"	Please provide 2-3 examples of abbreviations formed from the first character of each word in a phrase in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use abbreviations formed from the first syllable of each word in a phrase (e.g., ""FiDi"" < ""Financial District"", ""ForEx"" < ""foreign exchange"")?"	Please provide 2-3 examples of abbreviations formed from the first syllable of each word in a phrase in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use abbreviations formed by truncating characters at the ends of words (e.g., ""Col."" < ""Colonel"", ""Ave."" < ""Avenue"")?"	Please provide 2-3 examples of abbreviations formed by truncating characters at the ends of words in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use abbreviations formed by truncating characters at the ends of words and then adding ""augment"" suffixes (e.g., Australian English ""footie"" < ""football"", with an -ie augment, ""ambo"" < ""ambulance"" with an -o augment)?"	"Please provide 2-3 examples of abbreviations formed by truncating characters at the ends of words and then adding ""augment"" suffixes in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)"	"Does the target language use abbreviations formed by deleting characters (e.g., particularly vowels) from the middle of words (e.g., ""Blvd."" < ""Boulevard"", ""Sgt."" < ""Sergeant"")?"	Please provide 2-3 examples of abbreviations formed by deleting characters from the middle of words in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use any orthographic tricks to mark the inflection of abbreviations (e.g., Spanish ""'EE UU."" < ""Estados Unidos"" 'United States', with the doubling used to indicate that the abbreviation is plural)?"	Please provide 2-3 examples of inflected abbreviations in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use any particular orthographic tricks to abbreviate reduplication (e.g., Indonesian ""orang2"" < ""orangorang"" 'people', with ""2"" used to indicate reduplication)? Answer ""No"" if the target language does not have productive reduplication."	Please provide 2-3 examples of abbreviations for reduplication in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	Does the target language use any other style of abbreviation not yet covered?	Please provide 2-3 examples of these other style or styles, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to discussions of other styles of abbreviation in the target language.)
bn	Bengali	5	Yes	ABP - Ananda Bazar Patrika  	Yes	JN - Junction , Prasnna - Pro ( Question ),  Uttar - U ( answer)  	Yes	Paschim Bongo - Po.Bo.(West Bengal) , Kolkata - Kol(Kolkata) , Tarikh - Ta( date )	No		No		No		No		No	
ur	Urdu	4	Yes	 EM.BI.TEE - (Majlis Bachao Tehreek), EM.AAI.EM (Majlis-e-Ittehadul Muslimeen) BC (Qabal az Maseeh) DU (darrul Uloom)	No		No		Yes	Saal - (Saalana) 	No	Tshveesh (tashveesh)	No		No		No	
fr	French	5	Yes	ONU: Organisation des Nations Unies (United Nations) TGV: train à grande vitesse (high speed train)  Caf: Caisse d'allocations familiales (French National Office for Family Allocations)	Yes	Most of the French abbreviations using syllables are actually borrwoed from the English or from another language. I cannot think of any that is purely French, although we do use them often. Benelux:  Belgique, Nederland et Luxembourg (Benelux Union) radar:  radio detection and ranging (radar) 	Yes	févr.: février (February) vol.: volume (volume) adj.: adjectif (adjective)	No		Yes	ave.: avenue (avenue) st.: saint (saint) mme: madame (mrs.)	No		No		Yes	Some of the French abbreviations also use a mix first and non first letters: Medef: Mouvement des entreprises de France (French employer federation) sida: syndrom d'immunodéficience acquise (AIDS)  Some of the French abbreviations have become nouns and are not capitalized at all: sida:  syndrom d'immunodéficience acquise (AIDS) pacs: pacte civil de solidarité (French civil solidarity pact) 
gu	Gujarati	5	No		No		No		No		No		No		No		Yes	દા.ત. - દાખલા તરીકે (for example) તા.ક. - તાજા કલમ (postscript)  Gujarati does not have many commonly used abbreviations in day to day usage.
as	Assamese	5	No		No		No		No		No		Yes	নাছা - NASA (National Aeronautics and Space Administration). নাছাই এটি নতুন গৱেষণা কৰি আছে (NASA is doing a new research).  এছবিআই - SBI (State Bank of India). এছবিআইয়ে কম সুদৰ হাৰত ঋণ আগবঢ়াই আছে (SBI is giving loan in low interest rate).	No		No	
pa-gu	Punjabi (Gurmukhi)	5	No		Yes	killogram= ਕਿਲੋਗ੍ਰਾਮ=  ਕਿ.ਗ੍ਰਾ., centimeter - ਸੈਂਟੀਮੀਟਰ =ਸੈਂ.ਮੀ., celcius=ਸੈਲਸੀਅਸ=ਸੈਲ.	Yes	doctor= ਡਾਕਟਰ=ਡਾ., private limited=ਪ੍ਰਾਈਵੇਟ ਲਿਮਟਿਡ=ਪ੍ਰਾਈ. ਲਿਮ.  , registered = ਰਜਿਸਟਰਡ = ਰਜਿ.	No		No		No		No		Yes	Many abbreviations and acronyms are standardized and remain untranslated. They are only followed by their full spelling in English if the acronym needs to be explained to the speakers of a different language. In other cases, where the acronym is rather common, adding the fully spelled-out form will only confuse users. In these cases, the acronym can be used on its own. NATO, WTO, RAM, ROM  Many Punjabi abbreviations are formed by the first or two letter of the word and also by taking the first syllable of the word followed by a dot (.).
pa-gu	Punjabi (Gurmukhi)	5	No		No		Yes	ਸਰਦਾਰ  as ਸ. &  ਨੰਬਰ as ਨੰ.	Yes	ਆਈ as ਗਹਿਰਾਈ, ਵਡਿਆਈ, & ਆਲੂ as ਦਿਆਲੂ, ਕਿਰਪਾਲੂ, ਝਗੜਾਲੂ, -ਸ਼ਰਮਾਲੂ	No		No		No		No	
yo	Yorùbá	5	Yes	Abbreviation 1: abbl. Full form: Àti bẹ́ẹ̀ bẹ́ẹ̀ lọ  English: Et cetera  Abbreviation 2:  o.i. Full form: ojú ìwé. English: page 	No		No		No		No		No		No		Yes	1. Abbreviation: APIṢ. Full form: àpólà ìṣe. English: verb phrase  2. Abbreviation: AS. Full form: ọ̀rọ̀ àsopọ̀. English: conjunction 
be	Belarusian	5	Yes	ЮНЭСКА - Арганізацыя Аб'яднаных Нацый па пытанням Адукацыі, Навукі і Культуры. UNESCO - United Nations Educational, Scientific and Cultural Organization.  НАТА - Арганізацыя паўночнаатлантычнай дамовы NATO - North Atlantic Treaty Organization  MВФ - Міжнародны валютны фонд IMF - International monetary fund	Yes	Імпэкс - імпарт-экспарт Impex- import-export  Філфак - філалагічны факультэт Phildep - Philology department  Ашчадбанк - ашчадны банк Savbank - savings bank    	Yes	вул.- вуліца st. - street  пр. -праспект ave - avenue  нам. - намеснік dep. - deputy	No		Yes	мкрн - мікрараён residential district  птн - пятніца Friday  мкм - мікраметр micrometer 	No		No		No	
ka	Georgian	5	Yes	ჰესი: ჰიდროელექტროსადგური (Hydro Power Station) ცსს: ცენტრალური სადაზვერვო სააგენტო (CIA)	No		Yes	აკად.: აკადემიკოსი (Academician) ლაბ.: ლაბორანტი (Laboratorian)	No		No		No		No		Yes	გაერო: გაერთიანებული ერების ორგანიზაცია (United Nations) ჯანმო: ჯანდაცვის მსოფლიო ორგანიზაცია (WHO)
ka	Georgian	5	Yes	ჰესი: ჰიდროელექტროსადგური (Hydro Power Station) ცსს: ცენტრალური სადაზვერვო სააგენტო (CIA)	No		Yes	აკად.: აკადემიკოსი (Academician) ლაბ.: ლაბორანტი (Laboratorian)	No		No		No		No		Yes	გაერო: გაერთიანებული ერების ორგანიზაცია (United Nations) ჯანმო: ჯანდაცვის მსოფლიო ორგანიზაცია (WHO)
ta	Tamil	5	Yes	த.இ.க: தமிழ் இணையக் கல்விக்கழகம் (Tamil Virtual Acadamy) இ.வ.ப: இந்திய வனப் பணி (Indian Forest Service) 	No		Yes	செப்.: செப்டம்பர் (September) அக்.: அக்டோபர் (October) காங்.,: காங்கிரஸ் (congress party) 	No		No		No		No		Yes	வ.எண் : வரிசை எண் (Serial No) ப.எண் : பதிவு எண் (Registration No)
lt	Lithuanian	5	Yes	CŽV – Centrinė žvalgybos valdyba – Central Intelligence Agency 	Yes	SoDra – an institution which manages the matters related to social insurance.  FiDi – the day of a physics student. An event where physics students display their experiments etc. But please be informed that such abbreviations are really rare. 	Yes	Al. - alėja – boulevard/avenue Pr. – prospektas – a street for vehicle use, always min. 2 lane  Pl. – plentas – a street for vehicle use, usually at the periphery of the city, usually directly leading to the place it is named for.	No		Yes	kpt. – kapitonas – captain  pvz. – pavyzdžiui – for example plg. – palyginimui – compare (frequent in dictionaries to refer to other similar words)	No		No		Yes	First letter–last syllable rule m-ja – m(inisteri)ja – eng. Ministry. m-kla – m(oky)kla – eng. School Used in encyclopaedias where words are ofted repeated to save space.   
ar-ms	Arabic (Modern Standard)	5	No		No		No		No		No		No		No		Yes	"Arabic uses something called ""النحت"" (blending), which can be compared to ""portmanteau"" in English, by extracting a new word from the parts of two or more words, taking into account the appropriate pronunciation and meaning. Examples: From 2 words: ""عبشم"" from عبد شمس ""حيعلة"" from حيّ على ""بسملة"" from بسم الله From more than 2 words: ""دمعز"" from أدام الله عزك ""حولقة"" or ""حوقلة"" from لا حول ولا قوة إلى بالله http://ojs.mediu.edu.my/index.php/AIJLLS/article/download/2823/858 "
hi-la	Hindi (Latin)	5	Yes	Example 1: भाजपा: भारतीय जनता पार्टी (Bharatiya Janata Party) Example 2: रासुका: राष्ट्रीय सुरक्षा कानून (National security act) Example 3: पीडब्ल्यूडी: PWD (Public Works Departement) which is also as लोनिवि: लोक निर्माण विभाग (Lok Nirman Vibhag)	No		No		No		No		No		No		No	
pt-br	Portuguese (Brazilian)	5	Yes	CPF (Cadastro de Pessoas Físicas) - https://www.gov.br/receitafederal/pt-br/assuntos/meu-cpf FGTS (Fundo de Garantia do Tempo de Serviço) - https://www.fgts.gov.br/Pages/sou-empregador/o-que.aspx#:~:text=O%20Fundo%20de%20Garantia%20do,vinculada%20ao%20contrato%20de%20trabalho.  Regarding the relevant discussion, please check here: https://www.tjsc.jus.br/web/servidor/dicas-de-portugues/-/asset_publisher/0rjJEBzj2Oes/content/como-escrever-siglas#:~:text=Se%20n%C3%A3o%20puderem%20ser%20pronunciadas,Nunca%20use%20ap%C3%B3strofo%20(%60).	Yes	Bacen (Banco Central do Brasil) - https://www.bcb.gov.br/ Petrobras (Petróleo Brasileiro S.A.) - https://petrobras.com.br/ Sudene (Superintendência do Desenvolvimento do Nordeste) - https://www.gov.br/sudene/pt-br Forex - https://www.gov.br/cvm/pt-br/assuntos/protecao/mercado-forex DeFi - https://exame.com/future-of-money/startup-anuncia-integracao-ao-defi-na-tokenizacao-de-ativos-no-brasil/  It's not a common thing in Brazilian Portuguese to use this kind of abbreviation. It's usually used when there are anglicisms, mostly in Finance/Crypto.	Yes	"Av. stands for ""Avenida"" (avenue) ""N.º"" means ""número"" (number) ""Máx."" instead of ""Máximo"" (maximum)  http://www2.ufac.br/ppgespa/normas/anexos/reducoes.pdf"	Yes	"Yes, but mostly in informal language and may depend on regionalisms. What is more usual is to cut part of the word and use it like this:  ""Cine"" instead of the whole word ""Cinema"" ""Foto"" instead of ""Fotografia""   https://rockcontent.com/br/talent-blog/abreviatura-abreviacao-e-sigla/ https://brasilescola.uol.com.br/gramatica/a-abreviacao-vocabularmarcas-linguisticas.htm "	Yes	"Apto. stands for ""Apartamento"" (apartment) ""Ltda."" stands for ""Limitada"" (limited)  https://blog.nubank.com.br/ltda/#:~:text=LTDA%20%C3%A9%20a%20abrevia%C3%A7%C3%A3o%20de,ainda%20sociedades%20de%20responsabilidade%20limitada."	No		No		No	
mr-la	Marathi (Latin)	5	Yes	"म. रा. वि. मं. < ""महाराष्ट्र राज्य विद्युत् मंडळ"" < (Maharashtra state electricty board),  ""अक्र."" < ""अनुक्रमांक"" < (Serial number), ""उदा."", ""उदाहरणार्थ"" < (For example), ""आं. ए."" < ""आंतरराष्ट्रीय एकक"" < International unit"	Yes	"टेल्को ""टाटा एंजिनियरिंग अँड लोकोमोटिव्ह कंपनी लिमिटेड"" < (Tata Enginieering and locomotive company limited)"	Yes	"किमी< ""किलोमीटर"" < ""Kilometer"", ""संपा.""< ""संपादक/संपादित"" < Editor/edited, ""सेंमी."" < ""सेंटिमीटर"" < ""Centimeter"" "	No		No		No		No		No	
ar-gu	Arabic (Gulf, Latin)	5	Yes	1/ the word “الخ” which is an abbreviation of the phrase “إلى آخره” used as “etc..” in English.   2/ the letter “ص” which is an abbreviation of the phrase “صلى الله عليه وسلم” when talking about prophet Mohammed, and translates as “Peace Be Upon Him”.   3/ the letters “س” and “ج” which are used for سؤال وجواب used as Q&A (questions and answers) in English.  	Yes	1/ Some official entities abbreviate their names by using the first letter of each word such as “واس” from “وكالة الأنباء السعودية” which translates as WAS: Saudi Press Agency.    2/ the word “صلعم” which is an abbreviation of the phrase “صلى الله عليه وسلم” when talking about prophet Mohammed, and translates as “Peace Be Upon Him”.  	No		Yes	1/ انستا (insta) for Instagram  2/ واتس (whats) for WhatsApp  3/ لاب (lap) for laptop 	Yes	1/ the word “محد” which deletes 2 vowels ما أحد meaning ‘no one’.   2/ the word ميكب which deletes 1 vowel and connects two words into one ميك أب meaning ‘makeup’. 	No		No		Yes	Some Arabic words are abbreviated by creating an entirely new word such as ***البسملة* /الحوقلة **/الحمدلة  which refers to the act of saying الحمدلله - لا حول ولا قوة إلا بالله / بسم الله الرحمن الرحيم  {Islamic prayers}  *Bismillah ir-Rahman ir-Rahim/In the name of God, the Most Gracious, the Most Merciful **la hola walaquwata illabillah/ There is no power nor strength except through Allah. ***alhamdulillah/ in the name of Allah  
ar-ml	Arabic (Magrebi, Latin)	5	Yes	In Maghrebi Arabic, it's common to create abbreviations using the first character of each word in a phrase. Here are a few examples: Abbreviated Form: O.N.E. Full/Expanded Form: الجيش الوطني التحريري (Al-Jaysh Al-Watani Al-Tahriri) English Gloss: National Liberation Army (Algerian National Liberation Front)  Abbreviated Form: U.G.T.T. Full/Expanded Form: الاتحاد العام التونسي للشغل (Al-Ittihad Al-'Aam Al-Tunisi Lil-Shughl) English Gloss: General Union of Tunisian Workers  Abbreviated Form: F.N.D. Full/Expanded Form: الجبهة الوطنية للتحرير (Al-Jabha Al-Wataniya Lil-Tahrir) English Gloss: National Liberation Front (Moroccan political party).	No		No		No		Yes	Abbreviated Form: ش  Full/Expanded Form: شهر (shahr) English Gloss: Month.	No		No		No	
ar-ml	Arabic (Magrebi, Latin)	5	Yes	Abbreviated Form: ص. ب. (ṣ. b.) Full/Expanded Form: صندوق بريد (Ṣanduq Bariid) English Gloss: Post Office Box  Abbreviated Form: س ت (s t) Full/Expanded Form: سجل تجاري (Sijil Tajari) English Gloss: Commercial Register  Abbreviated Form: كم (km) Full/Expanded Form: كيلومتر (Kilumitr) English Gloss: Kilometer	No		No		No		Yes	Abbreviated Form: س ع (s a) Full/Expanded Form: السلام عليكم (As-salamu alaykum) English Gloss: Peace be upon you (common Islamic greeting)  Abbreviated Form: و س (w s) Full/Expanded Form: وعليكم السلام (Wa alaykum as-salam) English Gloss: And upon you be peace (response to the Islamic greeting)  Abbreviated Form: ص خ (ṣ k) Full/Expanded Form: صباح الخير (Sbāḥ al-khayr) English Gloss: Good morning.	No		No		No	
pt-pt	Portuguese (European)	5	Yes	"ONU - ""Organização das Nações Unidas"" (UN - United Nations) ""BC"" - ""Banco Central"" (Central Bank)"	Yes	"Detran - Departamento de Trânsito (Traffic Department) ""Embrapa"" - ""Empresa Brasileira de Pesquisa Agropecuária"" (Brazilian Agricultural Research Corporation)"	Yes	"Av. - ""Avenida"" (Avenue) ""Dr."" - ""Doutor"" (Doctor) ""Ex."" - ""Exemplo"" (Example)"	No		Yes	"Cia. - ""Companhia"" (Company) ""Drs."" - ""Doutores"" (Doctors) ""Apto."" - "" Apartamento"" (Apartment)"	No		No		No	
ta	Tamil	5	No		No		No		No		No		No		No		No	
pt-br	Portuguese (Brazilian)	5	Yes	VLT:  Veículo Leve sobre Trilhos (light rail vehicle) ANAC: Agência Nacional de Aviação Civil (national civil aviation agency)	Yes	Embrapa: Empresa Brasileira de Pesquisa Agropecuária (Brazilian Agricultural Research Corporation Sobrames: Sociedade Brasileira de Médicos Escritores (Brazilian Society of Medical Writers)	Yes	Av. - avenida (avenue) tel. - telefone (telephone)	No		Yes	apto. - apartamento (apartment) ltda. - limitada (limited)	No		No		Yes	"Abbreviations formed by truncating characters at the beginning of words and then adding ""augment"" suffixes: busão - ônibus (omnibus) burgão - hambúrguer (hamburguer) Fogão - Botafogo (proper name of a brazilian football team) Mengão - Flamengo ((proper name of a brazilian football team)"
hi	Hindi	5	No		No		No		No		No		No		No		No	
as	Assamese	5	Yes	1. ভাজপা- ভাৰতীয় জনতা পাৰ্টি  [BJP- Bharatiya Janata Party] 2. বি.এ.- বেচেল’ৰ অৱ আৰ্টছ [B.A.- Bachelor of Arts] 3. গু.বি.- গুৱাহাটী বিশ্ববিদ্যালয় [GU- Guwahati University]	No		No		No		No		No		No		No	
pt-br	Portuguese (Brazilian)	5	Yes	A ONU (Organização das Nações Unidas) é uma organização internacional fundada em 1945. (ONU = UN - United Nations)  Após a crise, o FMI (Fundo Monetário Internacional) se tornou uma espécie de “braço direito” do Grupo dos Vinte (G20). (FMI = IMF - International Monetary Fund)  A EMBRATEL (Empresa Brasileira de Telecomunicações) é uma marca pertencente ao grupo Claro que atua no segmento corporativo, dedicada às soluções que incluem aplicações em nuvem, segurança digital, IoT e serviços de TI. (EMBRATEL = Brazilian telecom company)	Yes	A FUNAI (Fundação Nacional dos Povos Indígenas) é o órgão indigenista oficial do Estado brasileiro. (FUNAI = National Indian Foundation)  A UNICAMP (Universidade de Campinas) é uma instituição de ensino superior pública estadual brasileira, sediada na cidade de Campinas, no estado de São Paulo, considerada uma das melhores universidades do país e da América Latina. (UNICAMP = Campinas University)	Yes	O Cel (Coronel do Exército) tem a função de auxiliar na preparação das companhias para a Defesa da Pátria, além de administrar as leis internas regidas pelo Estado-Maior dentro do Exército. (Cel = colonel)  Vendo lindo apart. próximo ao centro da cidade. (apart. = apartment)	No		Yes	pg. = pagou (paid) pç. = peça (piece/unit) Ltda. = limitada (unlimited)	No		No		No	
ro	Romanian	5	Yes	ONU: Organizația Națiunilor Unite (United Nations)  UE: Uniunea Europeană (European Union) UAT: unitate teritorial-administrativă (administrative-territorial unit)	No		Yes	lt: locotenent (lieutenant) d-ta: dumneata (you in a polite form)	No		Yes	Sb: Stibiu (Antimony) bd: bulevard (Boulevard) cpt: căpitan (captain) 	Yes	UAT-uri: Unități Teritoriale Administrative (territorial-administrative units) ONG-uri: Organizații Neguvernamentale (Non-Governmental Organizations) CAP-uri: Cooperativă Agricolă de Producție (Agricultural Cooperative for Production)	No		No	
ar-ml	Arabic (Magrebi, Latin)	5	No		No		No		No		No		No		No		No	
ar-eg	Arabic (Egyptian)	5	No		No		No		No		No		No		No		No	
ar-eg	Arabic (Egyptian)	5	No		No		No		No		No		No		No		No	
ar-eg	Arabic (Egyptian)	5	No		No		Yes	ش for شارع (street) / م. for مهندس (engineer)	No		No		No		No		No	
bn	Bengali	5	Yes	1. হু, বিশ্ব স্বাস্থ্য সংস্থা, World Health Organisation 2. সেবি, সিকিউরিটিজ অ্যান্ড এক্সচেঞ্জ বোর্ড অফ ইন্ডিয়া, Securities and Exchange Board of India	No		Yes	1. ডঃ, ডাক্তার, Doctor 2.প্রোঃ, প্রপ্রিয়েটর, Proprietor	No		No		No		No		No	
hy	Armenian	5	Yes	1․ English gloss: UNO Armenian: ՄԱԿ FullArmenian abbreviation: Միավորված ազգերի կազմակերպություն Reference: https://hy.wikipedia.org/wiki/%D5%84%D5%AB%D5%A1%D5%BE%D5%B8%D6%80%D5%BE%D5%A1%D5%AE_%D5%A1%D5%A6%D5%A3%D5%A5%D6%80%D5%AB_%D5%AF%D5%A1%D5%A6%D5%B4%D5%A1%D5%AF%D5%A5%D6%80%D5%BA%D5%B8%D6%82%D5%A9%D5%B5%D5%B8%D6%82%D5%B6)  2. English gloss: CIS Armenian: ԱՊՀ FullArmenian abbreviation: Անկախ պեոությունների համագործակցություն Reference: https://www.mfa.am/hy/international-organisations/2	Yes	1․ English gloss: FedEx Armenian: ՖեդԷքս FullArmenian abbreviation: Ֆեդերալ Էսպրես Reference: https://www.transimpex.am/hy/our-services/fedex-express  2․ English gloss: Not sure for English, it is something like command staff Armenian:  հրամկազմ FullArmenian abbreviation: հրամանատարական կազմ Reference: https://ofeliaandreasyan.wordpress.com/2021/09/29/%D5%B0%D5%A1%D5%B5%D5%B8%D6%81-%D5%AC%D5%A5%D5%A6%D5%B8%D6%82-%D5%B0%D5%A1%D5%BA%D5%A1%D5%BE%D5%B8%D6%82%D5%B4%D5%B6%D5%A5%D6%80%E2%80%A4-%D5%BF%D5%B6%D5%A1%D5%B5%D5%AB%D5%B6-%D5%A1%D5%B7%D5%AD%D5%A1/	Yes	1․ English gloss: Avenue Armenian: Պող․ FullArmenian abbreviation: Պողոտա Reference: in any posting address it is used  2․ English gloss: professor Armenian: Դասղեկ FullArmenian abbreviation: Դասընթացի ղեկավար  For instance: In this case the truncation is done not at the end, but at the beginning	No		Yes	1․ English gloss: Managing person of work Armenian: Աշխղեկ FullArmenian abbreviation: Աշխատանքի ղեկավար Reference: https://bararanonline.com/%D5%A1%D5%B7%D5%AD%D5%B2%D5%A5%D5%AF   2․ English gloss: thermal power plant Armenian: ջէկ FullArmenian abbreviation: ջերմաէելկտրակայան Reference: https://ofeliaandreasyan.wordpress.com/2021/09/29/%D5%B0%D5%A1%D5%B5%D5%B8%D6%81-%D5%AC%D5%A5%D5%A6%D5%B8%D6%82-%D5%B0%D5%A1%D5%BA%D5%A1%D5%BE%D5%B8%D6%82%D5%B4%D5%B6%D5%A5%D6%80%E2%80%A4-%D5%BF%D5%B6%D5%A1%D5%B5%D5%AB%D5%B6-%D5%A1%D5%B7%D5%AD%D5%A1/	No		No		Yes	 1․ English gloss: Reference Number/ Nb Armenian: Հմր or Հ FullArmenian abbreviation: Գործի համար Reference: We truncate vowels in the word for instance: համար (Հմր)  2․ English gloss: Avenue Armenian: Պղտ․ FullArmenian abbreviation: Պողոտա Reference: We truncate vowels in the word for instance:  պողոտա (պղտ)
pa-gu	Punjabi (Gurmukhi)	5	Yes	UN (United Nations Organization), TAN (North Atlantic Treaty Organization) - North Atlantic Treaty Organization	Yes	FeDeRes (Sports Federation of Ecuador) - Sports Federation of Ecuador, ProEdu (Education Program) - Education Program	Yes	"Col. (Colonel) - Colonel    - ""Col."" is the abbreviation for the word ""Colonel"" in the target language. It is commonly used to refer to military or police ranks.  Ave. (Avenida) - Avenue    - ""Ave."" is the abbreviated form of the word ""Avenida,"" which translates to ""Avenue"" in English. "	Yes	"Footie (Football) - Football    - ""Footie"" is an abbreviation formed by truncating the word ""Football"" and adding the augment suffix ""-ie."" It is a colloquial term commonly used in Australian English to refer to the sport of football (soccer).  Ambo (Ambulance) - Ambulance    - ""Ambo"" is an abbreviation formed by truncating the word ""Ambulance"" and adding the augment suffix ""-o."" It is a colloquial term commonly used in the target language to refer to an ambulance or an ambulance officer. The term ""ambo"" is recognized and used in Australian English and has become a part of the informal language."	Yes	"Blvd. (Boulevard) - Boulevard    - ""Blvd."" is an abbreviation formed by deleting the vowels from the word ""Boulevard.""  Sgt. (Sergeant) - Sergeant    - ""Sgt."" is an abbreviation formed by deleting the vowels from the word ""Sergeant."" "	Yes	"EE. UU. (Estados Unidos) - United States    - ""EE. UU."" is an inflected abbreviation derived from the full form ""Estados Unidos."" In Spanish, the doubling of the ""E"" and ""U"" letters indicates the plural form, so ""EE. UU."" refers to the United States. This orthographic trick helps distinguish between the singular form ""EE. UU."" and the singular form ""E.E. UU."" (Estados Unidos), which is used to refer to the United States as a singular entity.  RR. HH. (Recursos Humanos) - Human Resources    - ""RR. HH."" is an inflected abbreviation derived from the full form ""Recursos Humanos."" In the target language, the doubling of the ""R"" and ""H"" letters indicates the plural form, so ""RR. HH."" refers to Human Resources. This technique is commonly used in various contexts where the term ""Recursos Humanos"" needs to be abbreviated."	No		Yes	UNESCO (United Nations Educational, Scientific and Cultural Organization) NASA (National Aeronautics and Space Administration)
sl	Slovenian	5	Yes	STO - Svetovna trgovinska organizacija - World Trade Organisation MZZ - Ministrstvo za zunanje zadeve - Ministry of Foreign Affairs DURS - Davčna uprava Republike Slovenija - Slovenian Tax Administration	No		Yes	Ul. - Ulica - Street Zv. - Zvezek - Volume Str. - Stran - Page	No		No		No		No		No	
yo	Yorùbá	3	Yes	ABBREVIATED FORM          EXPANDED FORM          ENGLISH  1. Abbl.                           -    Ati bẹẹbẹẹ lọ               -   Etcetera etcetera.  2. Abbey                         -    Abiodun                        -   Born during festivities   	Yes	ABBREVIATED FORM                  EXPANDED FORM                  ENGLISH GLOSS  1. Ifẹ                              -               Ifẹoluwa                      -           God's love. 2. Tolu                           -              Toluwani                       -          God' own    3. Ẹri                              -               Ẹrioluwa                       -          Testimony	Yes	ABBREVIATED FORM                FULL/EXPANDED FORM                 ENGLISH 1.  Mosadi                         -         Mosadioluwa                       -  I ran to God to shield me 2.  Ibukun                          -         Ibukunoluwa                         -  Blessing of the Lord 3.  Ọba                               -         Obaloluwa                             - The Lord is King	Yes	ABBREVIATED FORM                 EXPANDED FORM                   ENGLISH  1.  Abbey                        -                Abiọdun                    -          Child born during festivities 2.  Afo                             -                Afolabi                      -          Child born with wealth	No		No		No		No	
ur	Urdu	5	No		No		No		No		No		No		No		No	
pa-sh	Punjabi (Shahmukhi)	5	No		No		No		No		No		No		No		No	
ar-ms	Arabic (Modern Standard)	5	No		No		No		No		No		No		No		No	
bg	Bulgarian	5	Yes	БНБ (Българска Народна Банка) Bulgarian National Bank БНТ (Българска Национална Телевизия) Bulgarian National Television	No		Yes	Полк. (Полковник) Colonel Инж. (Инженер) Engineer	No		Yes	км (километър) kilometer см (сантиметър) centimeter	No		No		Yes	у-ще (училище) school инф-я (информация) information
sq	Albanian	5	Yes	RTSH - Radio Televizioni Shqiptar (Albanian Radio Television) SPAK - Struktura e Posaçme Anti Korrupsion (Special Anti-Corruption Structure)	No		Yes	ndajf. - ndajfolje (adverb) kal. - kalimtare (transitive)	No		No		No		No		Yes	Kr.Thj - E Kryer e Thjeshte (Past Tense) Num. rresht - Numër Rreshtor (Serial Number)
ta	Tamil	5	Yes	ஐ. ஓ. பி - இந்தியன் ஓவர்சீஸ் பாங்க்- indian overseas bank எஸ்.பி. ஐ - ஸ்டேட் பாங்க் ஆஃப் இந்தியா- state bank of india	No		Yes	பான்- பான்கார்டு - Permanent account number(PAN) இ.சீ.நே -இந்திய சீர் நேரம்-Indian standard time(IST)	No		No		No		No		No	
mr	Marathi	5	Yes	प.सं. - पश्चिम सहाय्य संघटन (Pashchim Sahayya Sanghatan), सु.नि. - सुरक्षा निगम (Suraksha Nigam)	No		Yes	डॉ. - डॉक्टर (Doctor), प्रॉ. - प्रोफेसर (Professor)	No		No		No		No		No	
ar-ms	Arabic (Modern Standard)	5	No		No		No		No		No		No		No		Yes	Arabic doesn't generally use abbreviations of any form. However, in very limited cases, an acronym can be transliterated when the word is famous: ex1: Nato ناتو - ex2: FAO فاو. Another case is using initials of words with fullstops between the letters, ex: limited liability company ش.ذ.م.م
